chrom	pos	rsid	rsid_reported	gene	tissue	source	cis_trans	CHR_ID	CHR_POS	MAPPED_GENE	CONTEXT	P-VALUE	DISEASE/TRAIT	PUBMEDID
1	113189053.0	rs10745332	.	ST7L	Adipose_Subcutaneous	GTEx_v6	cis	1	112646431	CAPZA1	intron_variant	3e-09	Hypertension	25249183
1	113189053.0	rs10745332	.	ST7L	Adipose_Subcutaneous	GTEx_v6	cis	1	112646431	CAPZA1	intron_variant	3e-09	Systolic blood pressure	25249183
1	113189053.0	rs10745332	.	ST7L	Adipose_Subcutaneous	GTEx_v6	cis	1	112646431	CAPZA1	intron_variant	8e-08	Diastolic blood pressure	25249183
1	113189053.0	rs10745332	.	WNT2B	Lung	GTEx_v6	cis	1	112646431	CAPZA1	intron_variant	3e-09	Hypertension	25249183
1	113189053.0	rs10745332	.	WNT2B	Lung	GTEx_v6	cis	1	112646431	CAPZA1	intron_variant	3e-09	Systolic blood pressure	25249183
1	113189053.0	rs10745332	.	WNT2B	Lung	GTEx_v6	cis	1	112646431	CAPZA1	intron_variant	8e-08	Diastolic blood pressure	25249183
1	113189053.0	rs10745332	.	ST7L	Thyroid	GTEx_v6	cis	1	112646431	CAPZA1	intron_variant	3e-09	Hypertension	25249183
1	113189053.0	rs10745332	.	ST7L	Thyroid	GTEx_v6	cis	1	112646431	CAPZA1	intron_variant	3e-09	Systolic blood pressure	25249183
1	113189053.0	rs10745332	.	ST7L	Thyroid	GTEx_v6	cis	1	112646431	CAPZA1	intron_variant	8e-08	Diastolic blood pressure	25249183
1	113189053.0	rs10745332	.	ST7L	Whole_Blood	GTEx_v6	cis	1	112646431	CAPZA1	intron_variant	3e-09	Hypertension	25249183
1	113189053.0	rs10745332	.	ST7L	Whole_Blood	GTEx_v6	cis	1	112646431	CAPZA1	intron_variant	3e-09	Systolic blood pressure	25249183
1	113189053.0	rs10745332	.	ST7L	Whole_Blood	GTEx_v6	cis	1	112646431	CAPZA1	intron_variant	8e-08	Diastolic blood pressure	25249183
1	113189053.0	rs10745332	.	CAPZA1	Lung	GTEx_v6	cis	1	112646431	CAPZA1	intron_variant	3e-09	Hypertension	25249183
1	113189053.0	rs10745332	.	CAPZA1	Lung	GTEx_v6	cis	1	112646431	CAPZA1	intron_variant	3e-09	Systolic blood pressure	25249183
1	113189053.0	rs10745332	.	CAPZA1	Lung	GTEx_v6	cis	1	112646431	CAPZA1	intron_variant	8e-08	Diastolic blood pressure	25249183
1	113189053.0	rs10745332	.	RP4-671G15.2	Nerve_Tibial	GTEx_v6	cis	1	112646431	CAPZA1	intron_variant	3e-09	Hypertension	25249183
1	113189053.0	rs10745332	.	RP4-671G15.2	Nerve_Tibial	GTEx_v6	cis	1	112646431	CAPZA1	intron_variant	3e-09	Systolic blood pressure	25249183
1	113189053.0	rs10745332	.	RP4-671G15.2	Nerve_Tibial	GTEx_v6	cis	1	112646431	CAPZA1	intron_variant	8e-08	Diastolic blood pressure	25249183
1	113189053.0	rs10745332	.	ST7L	Heart_Left_Ventricle	GTEx_v6	cis	1	112646431	CAPZA1	intron_variant	3e-09	Hypertension	25249183
1	113189053.0	rs10745332	.	ST7L	Heart_Left_Ventricle	GTEx_v6	cis	1	112646431	CAPZA1	intron_variant	3e-09	Systolic blood pressure	25249183
1	113189053.0	rs10745332	.	ST7L	Heart_Left_Ventricle	GTEx_v6	cis	1	112646431	CAPZA1	intron_variant	8e-08	Diastolic blood pressure	25249183
1	113189053.0	rs10745332	.	ST7L	Lung	GTEx_v6	cis	1	112646431	CAPZA1	intron_variant	3e-09	Hypertension	25249183
1	113189053.0	rs10745332	.	ST7L	Lung	GTEx_v6	cis	1	112646431	CAPZA1	intron_variant	3e-09	Systolic blood pressure	25249183
1	113189053.0	rs10745332	.	ST7L	Lung	GTEx_v6	cis	1	112646431	CAPZA1	intron_variant	8e-08	Diastolic blood pressure	25249183
1	113189053.0	rs10745332	.	ST7L	Testis	GTEx_v6	cis	1	112646431	CAPZA1	intron_variant	3e-09	Hypertension	25249183
1	113189053.0	rs10745332	.	ST7L	Testis	GTEx_v6	cis	1	112646431	CAPZA1	intron_variant	3e-09	Systolic blood pressure	25249183
1	113189053.0	rs10745332	.	ST7L	Testis	GTEx_v6	cis	1	112646431	CAPZA1	intron_variant	8e-08	Diastolic blood pressure	25249183
1	113189053.0	rs10745332	.	ST7L	Muscle_Skeletal	GTEx_v6	cis	1	112646431	CAPZA1	intron_variant	3e-09	Hypertension	25249183
1	113189053.0	rs10745332	.	ST7L	Muscle_Skeletal	GTEx_v6	cis	1	112646431	CAPZA1	intron_variant	3e-09	Systolic blood pressure	25249183
1	113189053.0	rs10745332	.	ST7L	Muscle_Skeletal	GTEx_v6	cis	1	112646431	CAPZA1	intron_variant	8e-08	Diastolic blood pressure	25249183
1	113189053.0	rs10745332	.	CAPZA1	Nerve_Tibial	GTEx_v6	cis	1	112646431	CAPZA1	intron_variant	3e-09	Hypertension	25249183
1	113189053.0	rs10745332	.	CAPZA1	Nerve_Tibial	GTEx_v6	cis	1	112646431	CAPZA1	intron_variant	3e-09	Systolic blood pressure	25249183
1	113189053.0	rs10745332	.	CAPZA1	Nerve_Tibial	GTEx_v6	cis	1	112646431	CAPZA1	intron_variant	8e-08	Diastolic blood pressure	25249183
1	113189053.0	rs10745332	.	ST7L	Cells_Transformed_fibroblasts	GTEx_v6	cis	1	112646431	CAPZA1	intron_variant	3e-09	Hypertension	25249183
1	113189053.0	rs10745332	.	ST7L	Cells_Transformed_fibroblasts	GTEx_v6	cis	1	112646431	CAPZA1	intron_variant	3e-09	Systolic blood pressure	25249183
1	113189053.0	rs10745332	.	ST7L	Cells_Transformed_fibroblasts	GTEx_v6	cis	1	112646431	CAPZA1	intron_variant	8e-08	Diastolic blood pressure	25249183
1	113216543.0	rs2932538	rs2932538	RHOC	whole blood	Westra et al.	cis	1	112673921	CAPZA1 - MOV10	intron_variant	3e-07	Hypertension	21909115
1	113216543.0	rs2932538	rs2932538	BAZ2B	whole blood	Joehanes et al.	cis	1	112673921	CAPZA1 - MOV10	intron_variant	3e-07	Hypertension	21909115
1	113216543.0	rs2932538	rs2932538	CAPZA1	whole blood	Joehanes et al.	cis	1	112673921	CAPZA1 - MOV10	intron_variant	3e-07	Hypertension	21909115
1	113216543.0	rs2932538	rs2932538	ST7L	whole blood	Joehanes et al.	cis	1	112673921	CAPZA1 - MOV10	intron_variant	3e-07	Hypertension	21909115
1	113216543.0	rs2932538	.	ST7L	Muscle_Skeletal	GTEx_v6	cis	1	112673921	CAPZA1 - MOV10	intron_variant	3e-07	Hypertension	21909115
1	113216543.0	rs2932538	.	ST7L	Thyroid	GTEx_v6	cis	1	112673921	CAPZA1 - MOV10	intron_variant	3e-07	Hypertension	21909115
1	113216543.0	rs2932538	.	CAPZA1	Cells_Transformed_fibroblasts	GTEx_v6	cis	1	112673921	CAPZA1 - MOV10	intron_variant	3e-07	Hypertension	21909115
1	113216543.0	rs2932538	.	CAPZA1	Lung	GTEx_v6	cis	1	112673921	CAPZA1 - MOV10	intron_variant	3e-07	Hypertension	21909115
1	113216543.0	rs2932538	.	ST7L	Cells_Transformed_fibroblasts	GTEx_v6	cis	1	112673921	CAPZA1 - MOV10	intron_variant	3e-07	Hypertension	21909115
1	113216543.0	rs2932538	.	CAPZA1	Nerve_Tibial	GTEx_v6	cis	1	112673921	CAPZA1 - MOV10	intron_variant	3e-07	Hypertension	21909115
1	113216543.0	rs2932538	.	ST7L	Testis	GTEx_v6	cis	1	112673921	CAPZA1 - MOV10	intron_variant	3e-07	Hypertension	21909115
1	113216543.0	rs2932538	.	ST7L	Artery_Tibial	GTEx_v6	cis	1	112673921	CAPZA1 - MOV10	intron_variant	3e-07	Hypertension	21909115
1	113216543.0	rs2932538	.	WNT2B	Brain_Cerebellum	GTEx_v6	cis	1	112673921	CAPZA1 - MOV10	intron_variant	3e-07	Hypertension	21909115
1	113216543.0	rs2932538	.	CAPZA1	Brain_Cerebellum	GTEx_v6	cis	1	112673921	CAPZA1 - MOV10	intron_variant	3e-07	Hypertension	21909115
1	113216543.0	rs2932538	.	ST7L	Adipose_Subcutaneous	GTEx_v6	cis	1	112673921	CAPZA1 - MOV10	intron_variant	3e-07	Hypertension	21909115
1	113216543.0	rs2932538	.	ST7L	Lung	GTEx_v6	cis	1	112673921	CAPZA1 - MOV10	intron_variant	3e-07	Hypertension	21909115
1	113216543.0	rs2932538	.	ST7L	Nerve_Tibial	GTEx_v6	cis	1	112673921	CAPZA1 - MOV10	intron_variant	3e-07	Hypertension	21909115
1	113216543.0	rs2932538	.	ST7L	Artery_Aorta	GTEx_v6	cis	1	112673921	CAPZA1 - MOV10	intron_variant	3e-07	Hypertension	21909115
1	113216543.0	rs2932538	.	WNT2B	Lung	GTEx_v6	cis	1	112673921	CAPZA1 - MOV10	intron_variant	3e-07	Hypertension	21909115
1	113216543.0	rs2932538	.	ST7L	Heart_Left_Ventricle	GTEx_v6	cis	1	112673921	CAPZA1 - MOV10	intron_variant	3e-07	Hypertension	21909115
1	113216543.0	rs2932538	.	ST7L	Whole_Blood	GTEx_v6	cis	1	112673921	CAPZA1 - MOV10	intron_variant	3e-07	Hypertension	21909115
1	113216543.0	rs2932538	.	RP4-671G15.2	Brain_Cortex	GTEx_v6	cis	1	112673921	CAPZA1 - MOV10	intron_variant	3e-07	Hypertension	21909115
1	113216543.0	rs2932538	.	ST7L	Esophagus_Muscularis	GTEx_v6	cis	1	112673921	CAPZA1 - MOV10	intron_variant	3e-07	Hypertension	21909115
1	113216543.0	rs2932538	.	RP4-671G15.2	Brain_Cerebellum	GTEx_v6	cis	1	112673921	CAPZA1 - MOV10	intron_variant	3e-07	Hypertension	21909115
1	113216543.0	rs2932538	.	RP4-671G15.2	Nerve_Tibial	GTEx_v6	cis	1	112673921	CAPZA1 - MOV10	intron_variant	3e-07	Hypertension	21909115
2	169041386.0	rs6749447	rs6749447	STK39	whole blood	Westra et al.	cis	2	168184876	STK39	intron_variant	2e-07	Blood pressure	19114657
2	169041386.0	rs6749447	rs6749447	STK39	whole blood	Jansen et al.	cis	2	168184876	STK39	intron_variant	2e-07	Blood pressure	19114657
2	169041386.0	rs6749447	rs6749447	STK39	whole blood	Joehanes et al.	cis	2	168184876	STK39	intron_variant	2e-07	Blood pressure	19114657
6	26091179.0	rs1799945	rs1799945	TRIM38	whole blood	Westra et al.	cis	6	26090951	HFE	missense_variant	2e-10	Hypertension	21909115
6	26091179.0	rs1799945	rs1799945	ALAS2	whole blood	Westra et al.	trans	6	26090951	HFE	missense_variant	2e-10	Hypertension	21909115
6	26091179.0	rs1799945	rs1799945	HIST1H4B	whole blood	Jansen et al.	cis	6	26090951	HFE	missense_variant	2e-10	Hypertension	21909115
6	26091179.0	rs1799945	rs1799945	BTN3A2	whole blood	Jansen et al.	cis	6	26090951	HFE	missense_variant	2e-10	Hypertension	21909115
6	26091179.0	rs1799945	rs1799945	HIST1H2BD	whole blood	Jansen et al.	cis	6	26090951	HFE	missense_variant	2e-10	Hypertension	21909115
6	26091179.0	rs1799945	rs1799945	HFE	whole blood	Jansen et al.	cis	6	26090951	HFE	missense_variant	2e-10	Hypertension	21909115
6	26091179.0	rs1799945	rs1799945	HIST1H4H	whole blood	Jansen et al.	cis	6	26090951	HFE	missense_variant	2e-10	Hypertension	21909115
6	26091179.0	rs1799945	rs1799945	HIST1H2AC	whole blood	Jansen et al.	cis	6	26090951	HFE	missense_variant	2e-10	Hypertension	21909115
6	26091179.0	rs1799945	rs1799945	HIST1H3I	whole blood	Joehanes et al.	cis	6	26090951	HFE	missense_variant	2e-10	Hypertension	21909115
6	26091179.0	rs1799945	rs1799945	HIST1H4F	whole blood	Joehanes et al.	cis	6	26090951	HFE	missense_variant	2e-10	Hypertension	21909115
6	26091179.0	rs1799945	rs1799945	HIST1H4E	whole blood	Joehanes et al.	cis	6	26090951	HFE	missense_variant	2e-10	Hypertension	21909115
6	26091179.0	rs1799945	rs1799945	HIST1H4D	whole blood	Joehanes et al.	cis	6	26090951	HFE	missense_variant	2e-10	Hypertension	21909115
6	26091179.0	rs1799945	rs1799945	HIST1H4C	whole blood	Joehanes et al.	cis	6	26090951	HFE	missense_variant	2e-10	Hypertension	21909115
6	26091179.0	rs1799945	rs1799945	HIST1H4B	whole blood	Joehanes et al.	cis	6	26090951	HFE	missense_variant	2e-10	Hypertension	21909115
6	26091179.0	rs1799945	rs1799945	HIST1H4A	whole blood	Joehanes et al.	cis	6	26090951	HFE	missense_variant	2e-10	Hypertension	21909115
6	26091179.0	rs1799945	rs1799945	HIST1H3J	whole blood	Joehanes et al.	cis	6	26090951	HFE	missense_variant	2e-10	Hypertension	21909115
6	26091179.0	rs1799945	rs1799945	HIST1H3H	whole blood	Joehanes et al.	cis	6	26090951	HFE	missense_variant	2e-10	Hypertension	21909115
6	26091179.0	rs1799945	rs1799945	HIST2H4B	whole blood	Joehanes et al.	cis	6	26090951	HFE	missense_variant	2e-10	Hypertension	21909115
6	26091179.0	rs1799945	rs1799945	HIST1H3F	whole blood	Joehanes et al.	cis	6	26090951	HFE	missense_variant	2e-10	Hypertension	21909115
6	26091179.0	rs1799945	rs1799945	HIST1H3E	whole blood	Joehanes et al.	cis	6	26090951	HFE	missense_variant	2e-10	Hypertension	21909115
6	26091179.0	rs1799945	rs1799945	HIST1H3D	whole blood	Joehanes et al.	cis	6	26090951	HFE	missense_variant	2e-10	Hypertension	21909115
6	26091179.0	rs1799945	rs1799945	HIST1H3C	whole blood	Joehanes et al.	cis	6	26090951	HFE	missense_variant	2e-10	Hypertension	21909115
6	26091179.0	rs1799945	rs1799945	HIST1H3B	whole blood	Joehanes et al.	cis	6	26090951	HFE	missense_variant	2e-10	Hypertension	21909115
6	26091179.0	rs1799945	rs1799945	HIST1H3A	whole blood	Joehanes et al.	cis	6	26090951	HFE	missense_variant	2e-10	Hypertension	21909115
6	26091179.0	rs1799945	rs1799945	HIST4H4	whole blood	Joehanes et al.	cis	6	26090951	HFE	missense_variant	2e-10	Hypertension	21909115
6	26091179.0	rs1799945	rs1799945	HIST1H4H	whole blood	Joehanes et al.	cis	6	26090951	HFE	missense_variant	2e-10	Hypertension	21909115
6	26091179.0	rs1799945	rs1799945	HIST1H3G	whole blood	Joehanes et al.	cis	6	26090951	HFE	missense_variant	2e-10	Hypertension	21909115
6	26091179.0	rs1799945	rs1799945	HIST1H4I	whole blood	Joehanes et al.	cis	6	26090951	HFE	missense_variant	2e-10	Hypertension	21909115
6	26091179.0	rs1799945	rs1799945	ALAS2	whole blood	Joehanes et al.	trans	6	26090951	HFE	missense_variant	2e-10	Hypertension	21909115
6	26091179.0	rs1799945	rs1799945	HIST1H4K	whole blood	Joehanes et al.	cis	6	26090951	HFE	missense_variant	2e-10	Hypertension	21909115
6	26091179.0	rs1799945	rs1799945	HIST2H4A	whole blood	Joehanes et al.	cis	6	26090951	HFE	missense_variant	2e-10	Hypertension	21909115
6	26091179.0	rs1799945	rs1799945	HIST1H4L	whole blood	Joehanes et al.	cis	6	26090951	HFE	missense_variant	2e-10	Hypertension	21909115
6	26091179.0	rs1799945	rs1799945	HIST1H4J	whole blood	Joehanes et al.	cis	6	26090951	HFE	missense_variant	2e-10	Hypertension	21909115
6	26091179.0	rs1799945	rs1799945	HIST1H2BI	whole blood	Joehanes et al.	cis	6	26090951	HFE	missense_variant	2e-10	Hypertension	21909115
6	26091179.0	rs1799945	rs1799945	HIST1H2BG	whole blood	Joehanes et al.	cis	6	26090951	HFE	missense_variant	2e-10	Hypertension	21909115
6	26091179.0	rs1799945	rs1799945	HIST1H2BF	whole blood	Joehanes et al.	cis	6	26090951	HFE	missense_variant	2e-10	Hypertension	21909115
6	26091179.0	rs1799945	rs1799945	HIST1H2BE	whole blood	Joehanes et al.	cis	6	26090951	HFE	missense_variant	2e-10	Hypertension	21909115
6	26091179.0	rs1799945	rs1799945	HIST1H2BC	whole blood	Joehanes et al.	cis	6	26090951	HFE	missense_variant	2e-10	Hypertension	21909115
6	26091179.0	rs1799945	rs1799945	BTN3A2	whole blood	Joehanes et al.	cis	6	26090951	HFE	missense_variant	2e-10	Hypertension	21909115
6	26091179.0	rs1799945	rs1799945	FBXO9	whole blood	Joehanes et al.	trans	6	26090951	HFE	missense_variant	2e-10	Hypertension	21909115
6	26091179.0	rs1799945	rs1799945	BTN3A1	whole blood	Joehanes et al.	cis	6	26090951	HFE	missense_variant	2e-10	Hypertension	21909115
6	26091179.0	rs1799945	.	SLC17A3	Adrenal_Gland	GTEx_v6	cis	6	26090951	HFE	missense_variant	2e-10	Hypertension	21909115
6	26091179.0	rs1799945	.	U91328.19	Esophagus_Mucosa	GTEx_v6	cis	6	26090951	HFE	missense_variant	2e-10	Hypertension	21909115
6	26091179.0	rs1799945	.	HFE	Thyroid	GTEx_v6	cis	6	26090951	HFE	missense_variant	2e-10	Hypertension	21909115
6	26091179.0	rs1799945	.	HFE	Artery_Aorta	GTEx_v6	cis	6	26090951	HFE	missense_variant	2e-10	Hypertension	21909115
6	26091179.0	rs1799945	.	ZNF322	Esophagus_Muscularis	GTEx_v6	cis	6	26090951	HFE	missense_variant	2e-10	Hypertension	21909115
6	26091179.0	rs1799945	.	U91328.19	Adipose_Subcutaneous	GTEx_v6	cis	6	26090951	HFE	missense_variant	2e-10	Hypertension	21909115
6	26091179.0	rs1799945	.	HFE	Colon_Transverse	GTEx_v6	cis	6	26090951	HFE	missense_variant	2e-10	Hypertension	21909115
6	26091179.0	rs1799945	.	HFE	Nerve_Tibial	GTEx_v6	cis	6	26090951	HFE	missense_variant	2e-10	Hypertension	21909115
6	26091179.0	rs1799945	.	HIST1H2AC	Esophagus_Mucosa	GTEx_v6	cis	6	26090951	HFE	missense_variant	2e-10	Hypertension	21909115
6	31332739.0	rs9266359	rs9266359	LTA	whole blood	Westra et al.	cis	6	31364962	DHFRP2	downstream_gene_variant	7e-06	Systolic blood pressure	25249183
6	31332739.0	rs9266359	rs9266359	LTA	whole blood	Westra et al.	cis	6	31364962	DHFRP2	downstream_gene_variant	2e-07	Diastolic blood pressure	25249183
6	31332739.0	rs9266359	rs116069143	DDX39B	whole blood	Jansen et al.	cis	6	31364962	DHFRP2	downstream_gene_variant	7e-06	Systolic blood pressure	25249183
6	31332739.0	rs9266359	rs116069143	DDX39B	whole blood	Jansen et al.	cis	6	31364962	DHFRP2	downstream_gene_variant	2e-07	Diastolic blood pressure	25249183
6	31332739.0	rs9266359	rs116069143	HLA-B	whole blood	Jansen et al.	cis	6	31364962	DHFRP2	downstream_gene_variant	7e-06	Systolic blood pressure	25249183
6	31332739.0	rs9266359	rs116069143	HLA-B	whole blood	Jansen et al.	cis	6	31364962	DHFRP2	downstream_gene_variant	2e-07	Diastolic blood pressure	25249183
6	31332739.0	rs9266359	rs116069143	HLA-C	whole blood	Jansen et al.	cis	6	31364962	DHFRP2	downstream_gene_variant	7e-06	Systolic blood pressure	25249183
6	31332739.0	rs9266359	rs116069143	HLA-C	whole blood	Jansen et al.	cis	6	31364962	DHFRP2	downstream_gene_variant	2e-07	Diastolic blood pressure	25249183
6	31332739.0	rs9266359	rs116069143	HLA-E	whole blood	Jansen et al.	cis	6	31364962	DHFRP2	downstream_gene_variant	7e-06	Systolic blood pressure	25249183
6	31332739.0	rs9266359	rs116069143	HLA-E	whole blood	Jansen et al.	cis	6	31364962	DHFRP2	downstream_gene_variant	2e-07	Diastolic blood pressure	25249183
6	31332739.0	rs9266359	rs116069143	IER3	whole blood	Jansen et al.	cis	6	31364962	DHFRP2	downstream_gene_variant	7e-06	Systolic blood pressure	25249183
6	31332739.0	rs9266359	rs116069143	IER3	whole blood	Jansen et al.	cis	6	31364962	DHFRP2	downstream_gene_variant	2e-07	Diastolic blood pressure	25249183
6	31332739.0	rs9266359	rs9266359	LST1	whole blood	Joehanes et al.	cis	6	31364962	DHFRP2	downstream_gene_variant	7e-06	Systolic blood pressure	25249183
6	31332739.0	rs9266359	rs9266359	LST1	whole blood	Joehanes et al.	cis	6	31364962	DHFRP2	downstream_gene_variant	2e-07	Diastolic blood pressure	25249183
6	31332739.0	rs9266359	rs9266359	MICB	whole blood	Joehanes et al.	cis	6	31364962	DHFRP2	downstream_gene_variant	7e-06	Systolic blood pressure	25249183
6	31332739.0	rs9266359	rs9266359	MICB	whole blood	Joehanes et al.	cis	6	31364962	DHFRP2	downstream_gene_variant	2e-07	Diastolic blood pressure	25249183
6	31332739.0	rs9266359	rs9266359	DOM3Z	whole blood	Joehanes et al.	cis	6	31364962	DHFRP2	downstream_gene_variant	7e-06	Systolic blood pressure	25249183
6	31332739.0	rs9266359	rs9266359	DOM3Z	whole blood	Joehanes et al.	cis	6	31364962	DHFRP2	downstream_gene_variant	2e-07	Diastolic blood pressure	25249183
6	31332739.0	rs9266359	rs9266359	SNORD84	whole blood	Joehanes et al.	cis	6	31364962	DHFRP2	downstream_gene_variant	7e-06	Systolic blood pressure	25249183
6	31332739.0	rs9266359	rs9266359	SNORD84	whole blood	Joehanes et al.	cis	6	31364962	DHFRP2	downstream_gene_variant	2e-07	Diastolic blood pressure	25249183
6	31332739.0	rs9266359	rs9266359	DDX39B	whole blood	Joehanes et al.	cis	6	31364962	DHFRP2	downstream_gene_variant	7e-06	Systolic blood pressure	25249183
6	31332739.0	rs9266359	rs9266359	DDX39B	whole blood	Joehanes et al.	cis	6	31364962	DHFRP2	downstream_gene_variant	2e-07	Diastolic blood pressure	25249183
6	31332739.0	rs9266359	rs9266359	ATP6V1G2	whole blood	Joehanes et al.	cis	6	31364962	DHFRP2	downstream_gene_variant	7e-06	Systolic blood pressure	25249183
6	31332739.0	rs9266359	rs9266359	ATP6V1G2	whole blood	Joehanes et al.	cis	6	31364962	DHFRP2	downstream_gene_variant	2e-07	Diastolic blood pressure	25249183
6	31332739.0	rs9266359	rs9266359	BTN3A2	whole blood	Joehanes et al.	trans	6	31364962	DHFRP2	downstream_gene_variant	7e-06	Systolic blood pressure	25249183
6	31332739.0	rs9266359	rs9266359	BTN3A2	whole blood	Joehanes et al.	trans	6	31364962	DHFRP2	downstream_gene_variant	2e-07	Diastolic blood pressure	25249183
6	31332739.0	rs9266359	rs9266359	C4B	whole blood	Joehanes et al.	cis	6	31364962	DHFRP2	downstream_gene_variant	7e-06	Systolic blood pressure	25249183
6	31332739.0	rs9266359	rs9266359	C4B	whole blood	Joehanes et al.	cis	6	31364962	DHFRP2	downstream_gene_variant	2e-07	Diastolic blood pressure	25249183
6	31332739.0	rs9266359	rs9266359	C4A	whole blood	Joehanes et al.	cis	6	31364962	DHFRP2	downstream_gene_variant	7e-06	Systolic blood pressure	25249183
6	31332739.0	rs9266359	rs9266359	C4A	whole blood	Joehanes et al.	cis	6	31364962	DHFRP2	downstream_gene_variant	2e-07	Diastolic blood pressure	25249183
6	31332739.0	rs9266359	rs9266359	SLC44A4	whole blood	Joehanes et al.	cis	6	31364962	DHFRP2	downstream_gene_variant	7e-06	Systolic blood pressure	25249183
6	31332739.0	rs9266359	rs9266359	SLC44A4	whole blood	Joehanes et al.	cis	6	31364962	DHFRP2	downstream_gene_variant	2e-07	Diastolic blood pressure	25249183
6	31332739.0	rs9266359	rs9266359	HCG27	whole blood	Joehanes et al.	cis	6	31364962	DHFRP2	downstream_gene_variant	7e-06	Systolic blood pressure	25249183
6	31332739.0	rs9266359	rs9266359	HCG27	whole blood	Joehanes et al.	cis	6	31364962	DHFRP2	downstream_gene_variant	2e-07	Diastolic blood pressure	25249183
6	31332739.0	rs9266359	rs9266359	LOC100293534	whole blood	Joehanes et al.	cis	6	31364962	DHFRP2	downstream_gene_variant	7e-06	Systolic blood pressure	25249183
