gene	geneid	associationtype	Original DB	Sentence in the supporting publication	PMID	Protein Class	Gene Full Name	CUI	Disease	HPO Term	CUI	Disease	Semantic Type	mesh	Disease Class	DO Class	Type	omim	Type	Score	PMID Year
IL4	3565	AlteredExpression	BEFREE	OVA-challenged WT mice showed allergic inflammation and <span class= disease  id= 21205293-7-56-59 >AHR</span> in the airways along with increased expression of TNF-&alpha;, IFN-&gamma;, <span class= gene  id= 21205293-7-124-128 >IL-4</span> and tenascin-C in the lungs.	21205293	signaling molecule	interleukin 4	C0004096	Asthma	Abnormality of the immune system; Abnormality of the respiratory system	C0004096	Asthma	Disease or Syndrome	D001249	Immune System Diseases ; Respiratory Tract Diseases	disease of anatomical entity	disease	null	disease	0.440351394001266	2011
IL4	3565	AlteredExpression	BEFREE	<span class= gene  id= 12759454-8-0-4 >IL-4</span> mRNA and IL-5 mRNA were significantly higher in the xenografts of <span class= disease  id= 12759454-8-71-80 >asthmatic</span> huPBMC-SCID mice than those in the xenografts of normal huPBMC-SCID mice, but there were no significant differences in the expressions of IL-2 mRNA or IFN-gamma mRNA between them.	12759454	signaling molecule	interleukin 4	C0004096	Asthma	Abnormality of the immune system; Abnormality of the respiratory system	C0004096	Asthma	Disease or Syndrome	D001249	Immune System Diseases ; Respiratory Tract Diseases	disease of anatomical entity	disease	null	disease	0.440351394001266	2003
IL4	3565	AlteredExpression	BEFREE	In the absence of dexamethasone, there was <span class= negexp >no significant difference</span> in the expressions of <span class= gene  id= 11155664-5-91-95 >IL-4</span> and IL-5 mRNA between SR and SS asthmatics, and the numbers of mRNA positive cells for <span class= gene  id= 11155664-5-183-187 >IL-4</span> and IL-5 were also similar between these two groups, however, in the presence of dexamethasone (10(-7) mol/L), expressions of <span class= gene  id= 11155664-5-314-318 >IL-4</span> mRNA (P &lt; 0.01) and IL-5 mRNA (P &lt; 0.05) were significantly inhibited in SS <span class= disease  id= 11155664-5-395-405 >asthmatics</span>, but not in SR <span class= disease  id= 11155664-5-421-431 >asthmatics</span> (P &gt; 0.05).	11155664	signaling molecule	interleukin 4	C0004096	Asthma	Abnormality of the immune system; Abnormality of the respiratory system	C0004096	Asthma	Disease or Syndrome	D001249	Immune System Diseases ; Respiratory Tract Diseases	disease of anatomical entity	disease	null	disease	0.440351394001266	2001
IL4	3565	AlteredExpression	BEFREE	<span class= gene  id= 9949314-0-0-4 >IL-4</span> and IL-5 mRNA expression in induced sputum of <span class= disease  id= 9949314-0-51-60 >asthmatic</span> subjects: comparison with bronchial wash.	9949314	signaling molecule	interleukin 4	C0004096	Asthma	Abnormality of the immune system; Abnormality of the respiratory system	C0004096	Asthma	Disease or Syndrome	D001249	Immune System Diseases ; Respiratory Tract Diseases	disease of anatomical entity	disease	null	disease	0.440351394001266	1999
IL4	3565	AlteredExpression	BEFREE	<span class= gene  id= 24801457-12-0-4 >IL-4</span> levels in the obese <span class= disease  id= 24801457-12-25-34 >asthmatic</span> group were almost equal to those of the <span class= disease  id= 24801457-12-75-84 >asthmatic</span> group and more than in the other two groups, without significant difference.	24801457	signaling molecule	interleukin 4	C0004096	Asthma	Abnormality of the immune system; Abnormality of the respiratory system	C0004096	Asthma	Disease or Syndrome	D001249	Immune System Diseases ; Respiratory Tract Diseases	disease of anatomical entity	disease	null	disease	0.440351394001266	2014
IL4	3565	AlteredExpression	BEFREE	A common IL4 haplotype defined at 5 loci, which includes the -589T promoter variant, previously shown to be associated with increased interleukin (<span class= gene  id= 12402189-3-147-152 >IL)-4</span> transcriptional activity and predisposition to <span class= disease  id= 12402189-3-200-206 >asthma</span>, was overrepresented in patients with severe RSV disease (odds ratio, 1.63; P=.02).	12402189	signaling molecule	interleukin 4	C0004096	Asthma	Abnormality of the immune system; Abnormality of the respiratory system	C0004096	Asthma	Disease or Syndrome	D001249	Immune System Diseases ; Respiratory Tract Diseases	disease of anatomical entity	disease	null	disease	0.440351394001266	2002
IL4	3565	AlteredExpression	BEFREE	Occasional <span class= gene  id= 7613132-5-11-15 >IL-4</span> and IL-5 mRNA cells were observed in non-<span class= disease  id= 7613132-5-57-66 >asthmatic</span> control subjects, the large majority being CD3+ cells.	7613132	signaling molecule	interleukin 4	C0004096	Asthma	Abnormality of the immune system; Abnormality of the respiratory system	C0004096	Asthma	Disease or Syndrome	D001249	Immune System Diseases ; Respiratory Tract Diseases	disease of anatomical entity	disease	null	disease	0.440351394001266	1995
IL4	3565	AlteredExpression	BEFREE	It was concluded that PKC might participate in regulating the expression of <span class= gene  id= 12539551-6-76-80 >IL-4</span> and IL-5 in <span class= disease  id= 12539551-6-93-102 >asthmatic</span> T lymphocytes, and the activation of PKC in T lymphocytes might play an important role in the pathogenesis of <span class= disease  id= 12539551-6-213-219 >asthma</span>.	12539551	signaling molecule	interleukin 4	C0004096	Asthma	Abnormality of the immune system; Abnormality of the respiratory system	C0004096	Asthma	Disease or Syndrome	D001249	Immune System Diseases ; Respiratory Tract Diseases	disease of anatomical entity	disease	null	disease	0.440351394001266	2004
IL4	3565	AlteredExpression	BEFREE	In this study, using a ragweed induced mouse asthma model, we studied if BMSCs could be beneficial in an allergic, Th2-dominant environment.When BMSCs were injected i.v. at the time of the antigen challenge, they protected the animals from the majority of <span class= disease  id= 20231466-3-256-262 >asthma</span>-specific pathological changes, including inhibition of eosinophil infiltration and excess mucus production in the lung, decreased levels of Th2 cytokines (<span class= gene  id= 20231466-3-418-422 >IL-4</span>, IL-5, and IL-13) in bronchial lavage, and lowered serum levels of Th2 immunoglobulins (IgG1 and IgE).	20231466	signaling molecule	interleukin 4	C0004096	Asthma	Abnormality of the immune system; Abnormality of the respiratory system	C0004096	Asthma	Disease or Syndrome	D001249	Immune System Diseases ; Respiratory Tract Diseases	disease of anatomical entity	disease	null	disease	0.440351394001266	2010
IL4	3565	AlteredExpression	BEFREE	The latter is a natural antagonist of <span class= gene  id= 15965616-12-38-42 >IL-4</span> and when expressed in an individual at a level higher than <span class= gene  id= 15965616-12-102-106 >IL-4</span>, the person will resist a microbial infection (e.g.Mycobacterium tuberculosis) or <span class= disease  id= 15965616-12-189-195 >asthma</span>.	15965616	signaling molecule	interleukin 4	C0004096	Asthma	Abnormality of the immune system; Abnormality of the respiratory system	C0004096	Asthma	Disease or Syndrome	D001249	Immune System Diseases ; Respiratory Tract Diseases	disease of anatomical entity	disease	null	disease	0.440351394001266	2005
IL4	3565	AlteredExpression	BEFREE	<span class= gene  id= 24980391-0-0-13 >Interleukin-4</span> and interleukin-13 pathway genetics affect disease susceptibility, serum immunoglobulin E levels, and gene expression in <span class= disease  id= 24980391-0-135-141 >asthma</span>.	24980391	signaling molecule	interleukin 4	C0004096	Asthma	Abnormality of the immune system; Abnormality of the respiratory system	C0004096	Asthma	Disease or Syndrome	D001249	Immune System Diseases ; Respiratory Tract Diseases	disease of anatomical entity	disease	null	disease	0.440351394001266	2014
IL4	3565	AlteredExpression	BEFREE	De novo or augmented inhaled glucocorticoid therapy was associated with significant reductions in the percentages of CD4 T cells expressing IL-5 and <span class= gene  id= 11826234-10-149-153 >IL-4</span> mRNA, as well as improvements in lung function, symptom scores, and bronchial hyperresponsiveness to metacholine (PD20) in both the atopic and nonatopic <span class= disease  id= 11826234-10-307-317 >asthmatics</span>.	11826234	signaling molecule	interleukin 4	C0004096	Asthma	Abnormality of the immune system; Abnormality of the respiratory system	C0004096	Asthma	Disease or Syndrome	D001249	Immune System Diseases ; Respiratory Tract Diseases	disease of anatomical entity	disease	null	disease	0.440351394001266	2002
IL4	3565	AlteredExpression	BEFREE	<span class= disease  id= 10550742-0-0-9 >Asthmatic</span> airway biopsy specimens are more likely to express the <span class= gene  id= 10550742-0-65-69 >IL-4</span> alternative splice variant IL-4delta2.	10550742	signaling molecule	interleukin 4	C0004096	Asthma	Abnormality of the immune system; Abnormality of the respiratory system	C0004096	Asthma	Disease or Syndrome	D001249	Immune System Diseases ; Respiratory Tract Diseases	disease of anatomical entity	disease	null	disease	0.440351394001266	1999
IL4	3565	AlteredExpression	BEFREE	The severity of diseases with eosinophilic inflammation like nasal polyposis, atopic dermatitis and <span class= disease  id= 15144475-3-100-106 >asthma</span>, where Th2-type cytokines (<span class= gene  id= 15144475-3-134-138 >IL-4</span> and IL-13) and TGF-beta are expressed locally, was shown to correlate with bacterial factors such as lipopolysaccharide (LPS) rather than allergen.	15144475	signaling molecule	interleukin 4	C0004096	Asthma	Abnormality of the immune system; Abnormality of the respiratory system	C0004096	Asthma	Disease or Syndrome	D001249	Immune System Diseases ; Respiratory Tract Diseases	disease of anatomical entity	disease	null	disease	0.440351394001266	2004
IL4	3565	AlteredExpression	LHGDN	These data suggest that during a respiratory virus infection activated CD8+ T cells from asthmatic subjects may produce excess type 2 cytokines and may contribute to asthma exacerbation by augmenting allergic inflammation.	16001979	signaling molecule	interleukin 4	C0004096	Asthma	Abnormality of the immune system; Abnormality of the respiratory system	C0004096	Asthma	Disease or Syndrome	D001249	Immune System Diseases ; Respiratory Tract Diseases	disease of anatomical entity	disease	null	disease	0.440351394001266	2005
IL4	3565	AlteredExpression	BEFREE	By contrast, <span class= gene  id= 21468546-5-13-17 >IL-4</span> levels were significantly higher in <span class= disease  id= 21468546-5-54-63 >asthmatic</span> patients than in the control group (P&lt;0.01) and were negatively correlated with the ratio of T-bet/GATA-3.	21468546	signaling molecule	interleukin 4	C0004096	Asthma	Abnormality of the immune system; Abnormality of the respiratory system	C0004096	Asthma	Disease or Syndrome	D001249	Immune System Diseases ; Respiratory Tract Diseases	disease of anatomical entity	disease	null	disease	0.440351394001266	2011
IL4	3565	AlteredExpression	BEFREE	Microarray analysis of the expression profiles of lung tissue in two murine models of <span class= disease  id= 12813015-1-86-92 >asthma</span> revealed high levels of arginase I and arginase II activity, in association with <span class= gene  id= 12813015-1-174-178 >IL-4</span> and IL-13 overexpression, suggesting that arginine pathways are critical in the pathogenesis of <span class= disease  id= 12813015-1-275-281 >asthma</span>.	12813015	signaling molecule	interleukin 4	C0004096	Asthma	Abnormality of the immune system; Abnormality of the respiratory system	C0004096	Asthma	Disease or Syndrome	D001249	Immune System Diseases ; Respiratory Tract Diseases	disease of anatomical entity	disease	null	disease	0.440351394001266	2003
IL4	3565	AlteredExpression	BEFREE	Thus the increase in <span class= gene  id= 9199876-4-21-25 >IL-4</span> expression can be considered as an underlying mechanism of the allergic disease process and <span class= negexp >not so much of the</span> <span class= disease  id= 9199876-4-137-146 >asthmatic</span> state of the children.	9199876	signaling molecule	interleukin 4	C0004096	Asthma	Abnormality of the immune system; Abnormality of the respiratory system	C0004096	Asthma	Disease or Syndrome	D001249	Immune System Diseases ; Respiratory Tract Diseases	disease of anatomical entity	disease	null	disease	0.440351394001266	1997
IL4	3565	AlteredExpression	BEFREE	GATA3, <span class= gene  id= 25307458-11-7-11 >IL-4</span> mRNA expression levels were upregulated in patients with <span class= disease  id= 25307458-11-69-75 >asthma</span> than the healthy control.	25307458	signaling molecule	interleukin 4	C0004096	Asthma	Abnormality of the immune system; Abnormality of the respiratory system	C0004096	Asthma	Disease or Syndrome	D001249	Immune System Diseases ; Respiratory Tract Diseases	disease of anatomical entity	disease	null	disease	0.440351394001266	2014
IL4	3565	AlteredExpression	BEFREE	The expression of T-bet mRNA and the level of IFN-gamma were lower, but level of serum <span class= gene  id= 17361521-5-87-91 >IL-4</span> was higher in <span class= disease  id= 17361521-5-106-112 >asthma</span> patients when compared with those in healthy subjects respectively.	17361521	signaling molecule	interleukin 4	C0004096	Asthma	Abnormality of the immune system; Abnormality of the respiratory system	C0004096	Asthma	Disease or Syndrome	D001249	Immune System Diseases ; Respiratory Tract Diseases	disease of anatomical entity	disease	null	disease	0.440351394001266	2007
IL4	3565	AlteredExpression	BEFREE	Plasma <span class= gene  id= 26108069-7-7-11 >IL-4</span> level was significantly higher in <span class= disease  id= 26108069-7-46-52 >asthma</span> exacerbation subjects than controls (157.98 &plusmn; 21.57 versus 121.92 &plusmn; 24.37 pg/mL; p &lt; 0.0001), and IFN-&gamma; level was significantly lower in <span class= disease  id= 26108069-7-190-196 >asthma</span> exacerbation subjects (292.73 &plusmn; 152.47 versus 421.78 &plusmn; 145.84 pg/mL; p = 0.0107).	26108069	signaling molecule	interleukin 4	C0004096	Asthma	Abnormality of the immune system; Abnormality of the respiratory system	C0004096	Asthma	Disease or Syndrome	D001249	Immune System Diseases ; Respiratory Tract Diseases	disease of anatomical entity	disease	null	disease	0.440351394001266	2016
IL4	3565	AlteredExpression	BEFREE	In the atopic <span class= disease  id= 8902881-6-14-24 >asthmatics</span>, the expression of IL-13 was significantly greater than that for <span class= gene  id= 8902881-6-90-94 >IL-4</span> (p &lt; .01).	8902881	signaling molecule	interleukin 4	C0004096	Asthma	Abnormality of the immune system; Abnormality of the respiratory system	C0004096	Asthma	Disease or Syndrome	D001249	Immune System Diseases ; Respiratory Tract Diseases	disease of anatomical entity	disease	null	disease	0.440351394001266	1997
IL4	3565	AlteredExpression	BEFREE	In vitro addition of <span class= gene  id= 11150000-9-21-25 >IL-4</span> induced a dose-dependent increase in Fc epsilon RI alpha-chain expression on BMs from NASs, and this effect was significantly enhanced with BMs from <span class= disease  id= 11150000-9-175-178 >AAP</span>s.	11150000	signaling molecule	interleukin 4	C0004096	Asthma	Abnormality of the immune system; Abnormality of the respiratory system	C0004096	Asthma	Disease or Syndrome	D001249	Immune System Diseases ; Respiratory Tract Diseases	disease of anatomical entity	disease	null	disease	0.440351394001266	2001
IL4	3565	AlteredExpression	BEFREE	There were increased proportions of cells positive for IL-3 (p &lt; 0.05), <span class= gene  id= 8360390-6-72-76 >IL-4</span> (p &lt; 0.005), IL-5 (p &lt; 0.005), and GM-CSF (p &lt; 0.005) mRNA in BAL fluid from patients with symptomatic <span class= disease  id= 8360390-6-180-186 >asthma</span> when compared with that from subjects <span class= negexp >free of</span> symptoms, but <span class= negexp >no difference</span> between the groups in numbers of cells expressing IL-2 and interferon-gamma mRNA.	8360390	signaling molecule	interleukin 4	C0004096	Asthma	Abnormality of the immune system; Abnormality of the respiratory system	C0004096	Asthma	Disease or Syndrome	D001249	Immune System Diseases ; Respiratory Tract Diseases	disease of anatomical entity	disease	null	disease	0.440351394001266	1993
IL4	3565	AlteredExpression	BEFREE	At the level of MSG protein expression, the 3 cytokines were seen, with a significant increase in <span class= gene  id= 11031339-8-98-102 >IL-4</span> protein expression in steroid-treated <span class= disease  id= 11031339-8-141-150 >asthmatic</span> subjects compared with untreated asthmatic subjects and control subjects, but there were no differences between the groups in IL-5 and IFN-gamma protein expression.	11031339	signaling molecule	interleukin 4	C0004096	Asthma	Abnormality of the immune system; Abnormality of the respiratory system	C0004096	Asthma	Disease or Syndrome	D001249	Immune System Diseases ; Respiratory Tract Diseases	disease of anatomical entity	disease	null	disease	0.440351394001266	2000
IL4	3565	AlteredExpression	BEFREE	In particular, <span class= gene  id= 12589338-4-15-19 >IL-4</span> and IL-13 are produced at elevated levels in the <span class= disease  id= 12589338-4-69-78 >asthmatic</span> lung and are thought to be central regulators of many of the hallmark features of the disease.	12589338	signaling molecule	interleukin 4	C0004096	Asthma	Abnormality of the immune system; Abnormality of the respiratory system	C0004096	Asthma	Disease or Syndrome	D001249	Immune System Diseases ; Respiratory Tract Diseases	disease of anatomical entity	disease	null	disease	0.440351394001266	2003
IL4	3565	AlteredExpression	BEFREE	In <span class= disease  id= 22226971-3-3-9 >asthma</span> there is an overexpression of T(H)2 cytokines, such as <span class= gene  id= 22226971-3-65-69 >IL-4</span>, IL-5 and IL-13.	22226971	signaling molecule	interleukin 4	C0004096	Asthma	Abnormality of the immune system; Abnormality of the respiratory system	C0004096	Asthma	Disease or Syndrome	D001249	Immune System Diseases ; Respiratory Tract Diseases	disease of anatomical entity	disease	null	disease	0.440351394001266	2011
IL4	3565	AlteredExpression	BEFREE	In conclusion, AT-RvD1 demonstrated significant effects on the <span class= gene  id= 26075216-7-63-67 >IL-4</span>-induced activation of bronchial epithelial cells and consequently the potential to modulate neutrophilic and eosinophilic airway inflammation in <span class= disease  id= 26075216-7-213-219 >asthma</span>.	26075216	signaling molecule	interleukin 4	C0004096	Asthma	Abnormality of the immune system; Abnormality of the respiratory system	C0004096	Asthma	Disease or Syndrome	D001249	Immune System Diseases ; Respiratory Tract Diseases	disease of anatomical entity	disease	null	disease	0.440351394001266	2014
IL4	3565	AlteredExpression	BEFREE	In the subjects with <span class= disease  id= 1530827-8-21-27 >asthma</span>, mRNA for <span class= gene  id= 1530827-8-38-51 >interleukin-4</span> and 5 was expressed predominantly by T lymphocytes.	1530827	signaling molecule	interleukin 4	C0004096	Asthma	Abnormality of the immune system; Abnormality of the respiratory system	C0004096	Asthma	Disease or Syndrome	D001249	Immune System Diseases ; Respiratory Tract Diseases	disease of anatomical entity	disease	null	disease	0.440351394001266	1992
IL4	3565	AlteredExpression	BEFREE	STAT6 links <span class= gene  id= 21814192-0-12-16 >IL-4</span>/IL-13 stimulation with pendrin expression in <span class= disease  id= 21814192-0-62-68 >asthma</span> and chronic obstructive pulmonary disease.	21814192	signaling molecule	interleukin 4	C0004096	Asthma	Abnormality of the immune system; Abnormality of the respiratory system	C0004096	Asthma	Disease or Syndrome	D001249	Immune System Diseases ; Respiratory Tract Diseases	disease of anatomical entity	disease	null	disease	0.440351394001266	2011
IL4	3565	AlteredExpression	BEFREE	Expression of <span class= gene  id= 9120316-0-14-18 >IL-4</span> and IL-5 mRNA and protein product by CD4+ and CD8+ T cells, eosinophils, and mast cells in bronchial biopsies obtained from atopic and nonatopic (intrinsic) <span class= disease  id= 9120316-0-176-186 >asthmatics</span>.	9120316	signaling molecule	interleukin 4	C0004096	Asthma	Abnormality of the immune system; Abnormality of the respiratory system	C0004096	Asthma	Disease or Syndrome	D001249	Immune System Diseases ; Respiratory Tract Diseases	disease of anatomical entity	disease	null	disease	0.440351394001266	1997
IL4	3565	AlteredExpression	BEFREE	We report using p62-/- mice and cells that p62 acts downstream TCR activation, and is important for Th2 polarization and <span class= disease  id= 16874300-4-121-127 >asthma</span>, playing a significant role in the control of the sustained activation of NF-kappaB and late synthesis of GATA3 and <span class= gene  id= 16874300-4-244-248 >IL-4</span> by participating in the activation of the IKK complex.	16874300	signaling molecule	interleukin 4	C0004096	Asthma	Abnormality of the immune system; Abnormality of the respiratory system	C0004096	Asthma	Disease or Syndrome	D001249	Immune System Diseases ; Respiratory Tract Diseases	disease of anatomical entity	disease	null	disease	0.440351394001266	2006
IL4	3565	AlteredExpression	BEFREE	Lung inflammation, IFN-gamma:<span class= gene  id= 18828742-7-29-33 >IL-4</span> mRNA expression ratios, airway obstruction (AO), and <span class= disease  id= 18828742-7-87-109 >airway hyperreactivity</span> (<span class= disease  id= 18828742-7-111-114 >AHR</span>) were significantly increased in mice inoculated with live RSV.	18828742	signaling molecule	interleukin 4	C0004096	Asthma	Abnormality of the immune system; Abnormality of the respiratory system	C0004096	Asthma	Disease or Syndrome	D001249	Immune System Diseases ; Respiratory Tract Diseases	disease of anatomical entity	disease	null	disease	0.440351394001266	2009
TBX21	30009	AlteredExpression	BEFREE	AM could increase the expression of <span class= gene  id= 17361521-9-36-41 >T-bet</span> mRNA and Thl cytokines such as IFN-Y, and might reverse the Th2 predominant status in <span class= disease  id= 17361521-9-128-134 >asthma</span> patients.	17361521	transcription factor; nucleic acid binding	T-box 21	C0004096	Asthma	Abnormality of the immune system; Abnormality of the respiratory system	C0004096	Asthma	Disease or Syndrome	D001249	Immune System Diseases ; Respiratory Tract Diseases	disease of anatomical entity	disease	null	disease	0.431352297717041	2007
TBX21	30009	AlteredExpression	BEFREE	In conclusion, (1) p38MAPK-pathway rather than ERK-pathway may play a more basic role in the regulation of the increased <span class= gene  id= 17127048-7-121-126 >T-bet</span> expression in <span class= disease  id= 17127048-7-141-147 >asthma</span>, and (2) ERK- and p38MAPK-activation modulate IFNgamma expression independently of <span class= gene  id= 17127048-7-231-236 >T-bet</span> and this regulatory role of ERK-1/-2 on IFNgamma release is impaired in <span class= disease  id= 17127048-7-309-315 >asthma</span>.	17127048	transcription factor; nucleic acid binding	T-box 21	C0004096	Asthma	Abnormality of the immune system; Abnormality of the respiratory system	C0004096	Asthma	Disease or Syndrome	D001249	Immune System Diseases ; Respiratory Tract Diseases	disease of anatomical entity	disease	null	disease	0.431352297717041	2006
IL13	3596	AlteredExpression	BEFREE	<span class= gene  id= 21764573-10-0-17 >Allergic rhinitis</span>, chronic rhinitis and chronic rhinosinusitis were associated with different risk factor patterns and symptom expression of <span class= disease  id= 21764573-10-141-147 >asthma</span>.	21764573	signaling molecule	interleukin 13	C0004096	Asthma	Abnormality of the immune system; Abnormality of the respiratory system	C0004096	Asthma	Disease or Syndrome	D001249	Immune System Diseases ; Respiratory Tract Diseases	disease of anatomical entity	disease	null	disease	0.376242481353674	2011
IL13	3596	AlteredExpression	BEFREE	We propose that: (i) IL-4- and <span class= gene  id= 15677460-8-31-36 >IL-13</span>-stimulated SCCA gene expression is mediated via STAT-1 and STAT-6 activation, and (ii) by suppressing the production, and most likely by interfering with the signaling of these cytokines, UG inhibits SCCA gene expression associated with airway inflammation in <span class= disease  id= 15677460-8-297-303 >asthma</span>.	15677460	signaling molecule	interleukin 13	C0004096	Asthma	Abnormality of the immune system; Abnormality of the respiratory system	C0004096	Asthma	Disease or Syndrome	D001249	Immune System Diseases ; Respiratory Tract Diseases	disease of anatomical entity	disease	null	disease	0.376242481353674	2005
IL13	3596	AlteredExpression	BEFREE	iNOS and arginase mRNA (real-time PCR) and protein expression (Western blot and immunofluorescence) as well as iNOS activity (nitrite levels) were measured in ALI epithelial cells cultured from bronchial brushings of normal and <span class= disease  id= 18384429-5-228-237 >asthmatic</span> subjects following <span class= gene  id= 18384429-5-257-262 >IL-13</span> stimulation.	18384429	signaling molecule	interleukin 13	C0004096	Asthma	Abnormality of the immune system; Abnormality of the respiratory system	C0004096	Asthma	Disease or Syndrome	D001249	Immune System Diseases ; Respiratory Tract Diseases	disease of anatomical entity	disease	null	disease	0.376242481353674	2008
