drugbank_id	gene	gene_name	HGNC	drug_name	drug_type	action	simplified_action	known_action	taxid
DB00008	IFNAR1	Interferon alpha/beta receptor 1	HGNC:5432	Peginterferon alfa-2a	biotech	agonist	positive	yes	9606
DB00008	IFNAR2	Interferon alpha/beta receptor 2	HGNC:5433	Peginterferon alfa-2a	biotech	agonist	positive	yes	9606
DB00009	FGA	Fibrinogen alpha chain	HGNC:3661	Alteplase	biotech		other	yes	9606
DB00009	PLAUR	Urokinase plasminogen activator surface receptor	HGNC:9053	Alteplase	biotech		other	unknown	9606
DB00009	PLG	Plasminogen	HGNC:9071	Alteplase	biotech	activator	positive	yes	9606
DB00009	SERPINE1	Plasminogen activator inhibitor 1	HGNC:8583	Alteplase	biotech		other	unknown	9606
DB00010	GHRHR	Growth hormone-releasing hormone receptor	HGNC:4266	Sermorelin	biotech	agonist	positive	yes	9606
DB00011	IFNAR1	Interferon alpha/beta receptor 1	HGNC:5432	Interferon alfa-n1	biotech	agonist	positive	yes	9606
DB00011	IFNAR2	Interferon alpha/beta receptor 2	HGNC:5433	Interferon alfa-n1	biotech	agonist	positive	yes	9606
DB00012	EPOR	Erythropoietin receptor	HGNC:3416	Darbepoetin alfa	biotech	agonist	positive	yes	9606
DB00013	LRP2	Low-density lipoprotein receptor-related protein 2	HGNC:6694	Urokinase	biotech		other	unknown	9606
DB00013	NID1	Nidogen-1	HGNC:7821	Urokinase	biotech		other	unknown	9606
DB00013	PLAT	Tissue-type plasminogen activator	HGNC:9051	Urokinase	biotech		other	yes	9606
DB00013	PLAU	Urokinase-type plasminogen activator	HGNC:9052	Urokinase	biotech		other	yes	9606
DB00013	PLAUR	Urokinase plasminogen activator surface receptor	HGNC:9053	Urokinase	biotech		other	yes	9606
DB00013	PLG	Plasminogen	HGNC:9071	Urokinase	biotech	activator	positive	yes	9606
DB00013	SERPINA5	Plasma serine protease inhibitor	HGNC:8723	Urokinase	biotech		other	unknown	9606
DB00013	SERPINB2	Plasminogen activator inhibitor 2	HGNC:8584	Urokinase	biotech		other	yes	9606
DB00013	SERPINE1	Plasminogen activator inhibitor 1	HGNC:8583	Urokinase	biotech		other	yes	9606
DB00013	ST14	Suppressor of tumorigenicity 14 protein	HGNC:11344	Urokinase	biotech		other	unknown	9606
DB00014	GNRHR	Gonadotropin-releasing hormone receptor	HGNC:4421	Goserelin	small molecule	agonist	positive	yes	9606
DB00014	LHCGR	Lutropin-choriogonadotropic hormone receptor	HGNC:6585	Goserelin	small molecule	agonist	positive	yes	9606
DB00015	FGA	Fibrinogen alpha chain	HGNC:3661	Reteplase	biotech		other	yes	9606
DB00015	PLAUR	Urokinase plasminogen activator surface receptor	HGNC:9053	Reteplase	biotech		other	unknown	9606
DB00015	PLG	Plasminogen	HGNC:9071	Reteplase	biotech	activator	positive	yes	9606
DB00015	SERPINE1	Plasminogen activator inhibitor 1	HGNC:8583	Reteplase	biotech		other	unknown	9606
DB00016	EPOR	Erythropoietin receptor	HGNC:3416	Erythropoietin	biotech	agonist	positive	yes	9606
DB00017	CALCR	Calcitonin receptor	HGNC:1440	Salmon Calcitonin	biotech	agonist	positive	unknown	9606
DB00018	IFNAR1	Interferon alpha/beta receptor 1	HGNC:5432	Interferon alfa-n3	biotech	agonist	positive	yes	9606
DB00018	IFNAR2	Interferon alpha/beta receptor 2	HGNC:5433	Interferon alfa-n3	biotech	agonist	positive	yes	9606
DB00019	CSF3R	Granulocyte colony-stimulating factor receptor	HGNC:2439	Pegfilgrastim	biotech	agonist	positive	yes	9606
DB00019	ELANE	Neutrophil elastase	HGNC:3309	Pegfilgrastim	biotech		other	unknown	9606
DB00020	CSF2RA	Granulocyte-macrophage colony-stimulating factor receptor subunit alpha	HGNC:2435	Sargramostim	biotech	agonist	positive	yes	9606
DB00020	CSF2RB	Cytokine receptor common subunit beta	HGNC:2436	Sargramostim	biotech	agonist	positive	yes	9606
DB00020	IL3RA	Interleukin-3 receptor subunit alpha	HGNC:6012	Sargramostim	biotech	agonist	positive	yes	9606
DB00020	PRG2	Bone marrow proteoglycan	HGNC:9362	Sargramostim	biotech		other	unknown	9606
DB00020	SDC2	Syndecan-2	HGNC:10659	Sargramostim	biotech	agonist	positive	unknown	9606
DB00021	SCTR	Secretin receptor	HGNC:10608	Secretin	biotech	agonist	positive	yes	9606
DB00022	IFNAR1	Interferon alpha/beta receptor 1	HGNC:5432	Peginterferon alfa-2b	biotech	agonist	positive	yes	9606
DB00022	IFNAR2	Interferon alpha/beta receptor 2	HGNC:5433	Peginterferon alfa-2b	biotech	agonist	positive	yes	9606
DB00024	TSHR	Thyrotropin receptor	HGNC:12373	Thyrotropin Alfa	biotech	agonist	positive	yes	9606
DB00025	ASGR2	Asialoglycoprotein receptor 2	HGNC:743	Antihemophilic factor, human recombinant	biotech	binder	other	unknown	9606
DB00025	CALR	Calreticulin	HGNC:1455	Antihemophilic factor, human recombinant	biotech	chaperone	other	unknown	9606
DB00025	CANX	Calnexin	HGNC:1473	Antihemophilic factor, human recombinant	biotech	chaperone	other	unknown	9606
DB00025	F10	Coagulation factor X	HGNC:3528	Antihemophilic factor, human recombinant	biotech	activator	positive	yes	9606
DB00025	F9	Coagulation factor IX	HGNC:3551	Antihemophilic factor, human recombinant	biotech	cofactor	other	yes	9606
DB00025	HSPA5	78 kDa glucose-regulated protein	HGNC:5238	Antihemophilic factor, human recombinant	biotech	chaperone	other	unknown	9606
DB00025	LMAN1	Protein ERGIC-53	HGNC:6631	Antihemophilic factor, human recombinant	biotech	chaperone	other	unknown	9606
DB00025	LRP1	Prolow-density lipoprotein receptor-related protein 1	HGNC:6692	Antihemophilic factor, human recombinant	biotech	modulator	other	unknown	9606
DB00025	MCFD2	Multiple coagulation factor deficiency protein 2	HGNC:18451	Antihemophilic factor, human recombinant	biotech	modulator	other	unknown	9606
DB00025	PHYH	Phytanoyl-CoA dioxygenase, peroxisomal	HGNC:8940	Antihemophilic factor, human recombinant	biotech	antagonist	negaive	unknown	9606
DB00025	VWF	von Willebrand factor	HGNC:12726	Antihemophilic factor, human recombinant	biotech	binder	other	yes	9606
DB00026	IL1R1	Interleukin-1 receptor type 1	HGNC:5993	Anakinra	biotech	antagonist	negaive	yes	9606
DB00028	C3	Complement C3	HGNC:1318	Immune Globulin Human	biotech	binder	other	yes	9606
DB00028	C4A	Complement C4-A	HGNC:1323	Immune Globulin Human	biotech	binder	other	yes	9606
DB00028	C4B	Complement C4-B	HGNC:1324	Immune Globulin Human	biotech	binder	other	yes	9606
DB00028	C5	Complement C5	HGNC:1331	Immune Globulin Human	biotech	binder	other	yes	9606
DB00028	FCGR1A	High affinity immunoglobulin gamma Fc receptor I	HGNC:3613	Immune Globulin Human	biotech	antagonist	negaive	yes	9606
DB00028	FCGR1B	High affinity immunoglobulin gamma Fc receptor IB	HGNC:3614	Immune Globulin Human	biotech	antagonist	negaive	yes	9606
DB00028	FCGR2A	Low affinity immunoglobulin gamma Fc region receptor II-a	HGNC:3616	Immune Globulin Human	biotech	antagonist	negaive	yes	9606
DB00028	FCGR2B	Low affinity immunoglobulin gamma Fc region receptor II-b	HGNC:3618	Immune Globulin Human	biotech	antagonist	negaive	yes	9606
DB00028	FCGR2C	Low affinity immunoglobulin gamma Fc region receptor II-c	HGNC:15626	Immune Globulin Human	biotech	antagonist	negaive	yes	9606
DB00028	FCGR3A	Low affinity immunoglobulin gamma Fc region receptor III-A	HGNC:3619	Immune Globulin Human	biotech	antagonist	negaive	yes	9606
DB00028	FCGR3B	Low affinity immunoglobulin gamma Fc region receptor III-B	HGNC:3620	Immune Globulin Human	biotech	antagonist	negaive	yes	9606
DB00029	FGA	Fibrinogen alpha chain	HGNC:3661	Anistreplase	biotech		other	yes	9606
DB00029	PLAUR	Urokinase plasminogen activator surface receptor	HGNC:9053	Anistreplase	biotech		other	unknown	9606
DB00029	PLG	Plasminogen	HGNC:9071	Anistreplase	biotech	activator	positive	yes	9606
DB00029	SERPINE1	Plasminogen activator inhibitor 1	HGNC:8583	Anistreplase	biotech		other	unknown	9606
DB00030	CPE	Carboxypeptidase E	HGNC:2303	Insulin Human	biotech		other	unknown	9606
DB00030	CTSD	Cathepsin D	HGNC:2529	Insulin Human	biotech		other	unknown	9606
DB00030	IDE	Insulin-degrading enzyme	HGNC:5381	Insulin Human	biotech		other	unknown	9606
DB00030	IGF1R	Insulin-like growth factor 1 receptor	HGNC:5465	Insulin Human	biotech		other	unknown	9606
DB00030	IGFBP7	Insulin-like growth factor-binding protein 7	HGNC:5476	Insulin Human	biotech		other	unknown	9606
DB00030	INSR	Insulin receptor	HGNC:6091	Insulin Human	biotech	agonist	positive	yes	9606
DB00030	LRP2	Low-density lipoprotein receptor-related protein 2	HGNC:6694	Insulin Human	biotech		other	unknown	9606
DB00030	NOV	Protein NOV homolog	HGNC:7885	Insulin Human	biotech		other	unknown	9606
DB00030	PCSK1	Neuroendocrine convertase 1	HGNC:8743	Insulin Human	biotech		other	unknown	9606
DB00030	PCSK2	Neuroendocrine convertase 2	HGNC:8744	Insulin Human	biotech		other	unknown	9606
DB00030	RB1	Retinoblastoma-associated protein	HGNC:9884	Insulin Human	biotech		other	unknown	9606
DB00030	SYTL4	Synaptotagmin-like protein 4	HGNC:15588	Insulin Human	biotech		other	unknown	9606
DB00031	ANXA2	Annexin A2	HGNC:537	Tenecteplase	biotech		other	unknown	9606
DB00031	CALR	Calreticulin	HGNC:1455	Tenecteplase	biotech		other	unknown	9606
DB00031	CANX	Calnexin	HGNC:1473	Tenecteplase	biotech		other	unknown	9606
DB00031	CLEC3B	Tetranectin	HGNC:11891	Tenecteplase	biotech		other	unknown	9606
DB00031	FGA	Fibrinogen alpha chain	HGNC:3661	Tenecteplase	biotech		other	yes	9606
DB00031	KRT8	Keratin, type II cytoskeletal 8	HGNC:6446	Tenecteplase	biotech		other	unknown	9606
DB00031	LRP1	Prolow-density lipoprotein receptor-related protein 1	HGNC:6692	Tenecteplase	biotech		other	unknown	9606
DB00031	PLAUR	Urokinase plasminogen activator surface receptor	HGNC:9053	Tenecteplase	biotech		other	unknown	9606
DB00031	PLG	Plasminogen	HGNC:9071	Tenecteplase	biotech	activator	positive	yes	9606
DB00031	SERPINB2	Plasminogen activator inhibitor 2	HGNC:8584	Tenecteplase	biotech		other	unknown	9606
DB00031	SERPINE1	Plasminogen activator inhibitor 1	HGNC:8583	Tenecteplase	biotech		other	unknown	9606
DB00032	FSHR	Follicle-stimulating hormone receptor	HGNC:3969	Menotropins	biotech	binder	other	yes	9606
DB00032	LHCGR	Lutropin-choriogonadotropic hormone receptor	HGNC:6585	Menotropins	biotech		other	yes	9606
DB00033	IFNGR1	Interferon gamma receptor 1	HGNC:5439	Interferon gamma-1b	biotech	binder	other	yes	9606
DB00033	IFNGR2	Interferon gamma receptor 2	HGNC:5440	Interferon gamma-1b	biotech	binder	other	yes	9606
DB00034	IFNAR1	Interferon alpha/beta receptor 1	HGNC:5432	Interferon Alfa-2a, Recombinant	biotech		other	yes	9606
DB00034	IFNAR2	Interferon alpha/beta receptor 2	HGNC:5433	Interferon Alfa-2a, Recombinant	biotech		other	yes	9606
DB00035	AVPR1A	Vasopressin V1a receptor	HGNC:895	Desmopressin	small molecule		other	yes	9606
DB00035	AVPR1B	Vasopressin V1b receptor	HGNC:896	Desmopressin	small molecule		other	yes	9606
DB00035	AVPR2	Vasopressin V2 receptor	HGNC:897	Desmopressin	small molecule	agonist	positive	yes	9606
DB00036	F10	Coagulation factor X	HGNC:3528	Coagulation factor VIIa Recombinant Human	biotech		other	unknown	9606
DB00036	F3	Tissue factor	HGNC:3541	Coagulation factor VIIa Recombinant Human	biotech		other	unknown	9606
DB00036	F7	Coagulation factor VII	HGNC:3544	Coagulation factor VIIa Recombinant Human	biotech		other	unknown	9606
DB00036	GGCX	Vitamin K-dependent gamma-carboxylase	HGNC:4247	Coagulation factor VIIa Recombinant Human	biotech		other	unknown	9606
DB00036	HPN	Serine protease hepsin	HGNC:5155	Coagulation factor VIIa Recombinant Human	biotech		other	unknown	9606
DB00036	TFPI	Tissue factor pathway inhibitor	HGNC:11760	Coagulation factor VIIa Recombinant Human	biotech		other	unknown	9606
DB00038	IL11RA	Interleukin-11 receptor subunit alpha	HGNC:5967	Oprelvekin	biotech	agonist	positive	yes	9606
DB00039	FGFR1	Fibroblast growth factor receptor 1	HGNC:3688	Palifermin	biotech		other	unknown	9606
DB00039	FGFR2	Fibroblast growth factor receptor 2	HGNC:3689	Palifermin	biotech	binder	other	yes	9606
DB00039	FGFR3	Fibroblast growth factor receptor 3	HGNC:3690	Palifermin	biotech		other	unknown	9606
DB00039	FGFR4	Fibroblast growth factor receptor 4	HGNC:3691	Palifermin	biotech		other	unknown	9606
DB00039	HSPG2	Basement membrane-specific heparan sulfate proteoglycan core protein	HGNC:5273	Palifermin	biotech		other	unknown	9606
DB00039	NRP1	Neuropilin-1	HGNC:8004	Palifermin	biotech		other	unknown	9606
DB00040	GCGR	Glucagon receptor	HGNC:4192	Glucagon recombinant	biotech	agonist	positive	yes	9606
DB00040	GLP1R	Glucagon-like peptide 1 receptor	HGNC:4324	Glucagon recombinant	biotech		other	unknown	9606
DB00040	GLP2R	Glucagon-like peptide 2 receptor	HGNC:4325	Glucagon recombinant	biotech		other	unknown	9606
DB00041	IL2RA	Interleukin-2 receptor subunit alpha	HGNC:6008	Aldesleukin	biotech	agonist|modulator	positive	yes	9606
DB00041	IL2RB	Interleukin-2 receptor subunit beta	HGNC:6009	Aldesleukin	biotech	agonist|modulator	positive	yes	9606
DB00041	IL2RG	Cytokine receptor common subunit gamma	HGNC:6010	Aldesleukin	biotech	agonist	positive	yes	9606
DB00042	SYT2	Synaptotagmin-2	HGNC:11510	Botulinum Toxin Type B	biotech		other	yes	9606
DB00042	VAMP1	Vesicle-associated membrane protein 1	HGNC:12642	Botulinum Toxin Type B	biotech	binder	other	yes	9606
DB00042	VAMP2	Vesicle-associated membrane protein 2	HGNC:12643	Botulinum Toxin Type B	biotech	binder	other	yes	9606
DB00043	FCER1A	High affinity immunoglobulin epsilon receptor subunit alpha	HGNC:3609	Omalizumab	biotech		other	yes	9606
DB00043	MS4A2	High affinity immunoglobulin epsilon receptor subunit beta	HGNC:7316	Omalizumab	biotech	antagonist	negaive	yes	9606
DB00044	LHCGR	Lutropin-choriogonadotropic hormone receptor	HGNC:6585	Lutropin alfa	biotech	agonist	positive	yes	9606
DB00045	TLR2	Toll-like receptor 2	HGNC:11848	Lyme disease vaccine (recombinant OspA)	biotech	other/unknown	other	yes	9606
DB00046	IGF1R	Insulin-like growth factor 1 receptor	HGNC:5465	Insulin Lispro	biotech		other	unknown	9606
DB00046	INSR	Insulin receptor	HGNC:6091	Insulin Lispro	biotech	agonist	positive	yes	9606
DB00047	IGF1R	Insulin-like growth factor 1 receptor	HGNC:5465	Insulin Glargine	biotech	agonist	positive	unknown	9606
DB00047	INSR	Insulin receptor	HGNC:6091	Insulin Glargine	biotech	agonist	positive	yes	9606
DB00048	COL1A1	Collagen alpha-1(I) chain	HGNC:2197	Collagenase clostridium histolyticum	biotech		other	unknown	9606
DB00048	COL1A2	Collagen alpha-2(I) chain	HGNC:2198	Collagenase clostridium histolyticum	biotech		other	unknown	9606
DB00048	COL2A1	Collagen alpha-1(II) chain	HGNC:2200	Collagenase clostridium histolyticum	biotech		other	unknown	9606
DB00048	COL3A1	Collagen alpha-1(III) chain	HGNC:2201	Collagenase clostridium histolyticum	biotech		other	unknown	9606
DB00050	GNRHR	Gonadotropin-releasing hormone receptor	HGNC:4421	Cetrorelix	small molecule	antagonist	negaive	yes	9606
DB00050	LHCGR	Lutropin-choriogonadotropic hormone receptor	HGNC:6585	Cetrorelix	small molecule		other	unknown	9606
DB00051	C1QA	Complement C1q subcomponent subunit A	HGNC:1241	Adalimumab	biotech		other	unknown	9606
DB00051	C1QB	Complement C1q subcomponent subunit B	HGNC:1242	Adalimumab	biotech		other	unknown	9606
DB00051	C1QC	Complement C1q subcomponent subunit C	HGNC:1245	Adalimumab	biotech		other	unknown	9606
DB00051	C1R	Complement C1r subcomponent	HGNC:1246	Adalimumab	biotech		other	unknown	9606
DB00051	C1S	Complement C1s subcomponent	HGNC:1247	Adalimumab	biotech		other	unknown	9606
DB00051	FCGR1A	High affinity immunoglobulin gamma Fc receptor I	HGNC:3613	Adalimumab	biotech		other	unknown	9606
DB00051	FCGR2A	Low affinity immunoglobulin gamma Fc region receptor II-a	HGNC:3616	Adalimumab	biotech		other	unknown	9606
DB00051	FCGR2B	Low affinity immunoglobulin gamma Fc region receptor II-b	HGNC:3618	Adalimumab	biotech		other	unknown	9606
DB00051	FCGR2C	Low affinity immunoglobulin gamma Fc region receptor II-c	HGNC:15626	Adalimumab	biotech		other	unknown	9606
DB00051	FCGR3A	Low affinity immunoglobulin gamma Fc region receptor III-A	HGNC:3619	Adalimumab	biotech		other	unknown	9606
DB00051	FCGR3B	Low affinity immunoglobulin gamma Fc region receptor III-B	HGNC:3620	Adalimumab	biotech		other	unknown	9606
DB00051	TNF	Tumor necrosis factor	HGNC:11892	Adalimumab	biotech	antibody	negaive	yes	9606
DB00052	GHR	Growth hormone receptor	HGNC:4263	Somatotropin	biotech	binder	other	yes	9606
DB00052	PRLR	Prolactin receptor	HGNC:9446	Somatotropin	biotech		other	yes	9606
DB00054	C1QA	Complement C1q subcomponent subunit A	HGNC:1241	Abciximab	biotech		other	unknown	9606
DB00054	C1QB	Complement C1q subcomponent subunit B	HGNC:1242	Abciximab	biotech		other	unknown	9606
DB00054	C1QC	Complement C1q subcomponent subunit C	HGNC:1245	Abciximab	biotech		other	unknown	9606
DB00054	C1R	Complement C1r subcomponent	HGNC:1246	Abciximab	biotech		other	unknown	9606
DB00054	C1S	Complement C1s subcomponent	HGNC:1247	Abciximab	biotech		other	unknown	9606
DB00054	FCGR1A	High affinity immunoglobulin gamma Fc receptor I	HGNC:3613	Abciximab	biotech		other	unknown	9606
DB00054	FCGR2A	Low affinity immunoglobulin gamma Fc region receptor II-a	HGNC:3616	Abciximab	biotech		other	unknown	9606
DB00054	FCGR2B	Low affinity immunoglobulin gamma Fc region receptor II-b	HGNC:3618	Abciximab	biotech		other	unknown	9606
DB00054	FCGR2C	Low affinity immunoglobulin gamma Fc region receptor II-c	HGNC:15626	Abciximab	biotech		other	unknown	9606
DB00054	FCGR3A	Low affinity immunoglobulin gamma Fc region receptor III-A	HGNC:3619	Abciximab	biotech		other	unknown	9606
DB00054	FCGR3B	Low affinity immunoglobulin gamma Fc region receptor III-B	HGNC:3620	Abciximab	biotech		other	unknown	9606
DB00054	ITGA2B	Integrin alpha-IIb	HGNC:6138	Abciximab	biotech	antagonist	negaive	yes	9606
DB00054	ITGB3	Integrin beta-3	HGNC:6156	Abciximab	biotech	antagonist	negaive	yes	9606
DB00054	VTN	Vitronectin	HGNC:12724	Abciximab	biotech		other	unknown	9606
DB00055	CP	Ceruloplasmin	HGNC:2295	Drotrecogin alfa	biotech		other	unknown	9606
DB00055	F2	Prothrombin	HGNC:3535	Drotrecogin alfa	biotech		other	unknown	9606
DB00055	F5	Coagulation factor V	HGNC:3542	Drotrecogin alfa	biotech	multitarget	other	yes	9606
DB00055	F8	Coagulation factor VIII	HGNC:3546	Drotrecogin alfa	biotech	multitarget	other	yes	9606
DB00055	GGCX	Vitamin K-dependent gamma-carboxylase	HGNC:4247	Drotrecogin alfa	biotech		other	unknown	9606
DB00055	PF4	Platelet factor 4	HGNC:8861	Drotrecogin alfa	biotech		other	unknown	9606
DB00055	PROCR	Endothelial protein C receptor	HGNC:9452	Drotrecogin alfa	biotech		other	unknown	9606
DB00055	PROS1	Vitamin K-dependent protein S	HGNC:9456	Drotrecogin alfa	biotech		other	unknown	9606
DB00055	SERPINA5	Plasma serine protease inhibitor	HGNC:8723	Drotrecogin alfa	biotech		other	unknown	9606
DB00055	SERPINB6	Serpin B6	HGNC:8950	Drotrecogin alfa	biotech		other	unknown	9606
DB00055	SERPINE1	Plasminogen activator inhibitor 1	HGNC:8583	Drotrecogin alfa	biotech		other	unknown	9606
DB00055	THBD	Thrombomodulin	HGNC:11784	Drotrecogin alfa	biotech		other	unknown	9606
DB00056	C1QA	Complement C1q subcomponent subunit A	HGNC:1241	Gemtuzumab ozogamicin	biotech		other	unknown	9606
DB00056	C1QB	Complement C1q subcomponent subunit B	HGNC:1242	Gemtuzumab ozogamicin	biotech		other	unknown	9606
DB00056	C1QC	Complement C1q subcomponent subunit C	HGNC:1245	Gemtuzumab ozogamicin	biotech		other	unknown	9606
DB00056	C1R	Complement C1r subcomponent	HGNC:1246	Gemtuzumab ozogamicin	biotech		other	unknown	9606
DB00056	C1S	Complement C1s subcomponent	HGNC:1247	Gemtuzumab ozogamicin	biotech		other	unknown	9606
DB00056	CD33	Myeloid cell surface antigen CD33	HGNC:1659	Gemtuzumab ozogamicin	biotech	antibody	negaive	yes	9606
DB00056	FCGR1A	High affinity immunoglobulin gamma Fc receptor I	HGNC:3613	Gemtuzumab ozogamicin	biotech		other	unknown	9606
DB00056	FCGR2A	Low affinity immunoglobulin gamma Fc region receptor II-a	HGNC:3616	Gemtuzumab ozogamicin	biotech		other	unknown	9606
DB00056	FCGR2B	Low affinity immunoglobulin gamma Fc region receptor II-b	HGNC:3618	Gemtuzumab ozogamicin	biotech		other	unknown	9606
DB00056	FCGR2C	Low affinity immunoglobulin gamma Fc region receptor II-c	HGNC:15626	Gemtuzumab ozogamicin	biotech		other	unknown	9606
DB00056	FCGR3A	Low affinity immunoglobulin gamma Fc region receptor III-A	HGNC:3619	Gemtuzumab ozogamicin	biotech		other	unknown	9606
DB00056	FCGR3B	Low affinity immunoglobulin gamma Fc region receptor III-B	HGNC:3620	Gemtuzumab ozogamicin	biotech		other	unknown	9606
DB00058	ELANE	Neutrophil elastase	HGNC:3309	Alpha-1-proteinase inhibitor	biotech	inhibitor	negaive	yes	9606
DB00060	IFNAR1	Interferon alpha/beta receptor 1	HGNC:5432	Interferon beta-1a	biotech	agonist	positive	yes	9606
DB00060	IFNAR2	Interferon alpha/beta receptor 2	HGNC:5433	Interferon beta-1a	biotech		other	yes	9606
DB00061	GRB2	Growth factor receptor-bound protein 2	HGNC:4566	Pegademase bovine	biotech	binder	other	unknown	9606
DB00062	AMBP	Protein AMBP	HGNC:453	Human Serum Albumin	biotech		other	unknown	9606
DB00062	APOE	Apolipoprotein E	HGNC:613	Human Serum Albumin	biotech		other	unknown	9606
DB00062	SAA1	Serum amyloid A-1 protein	HGNC:10513	Human Serum Albumin	biotech		other	unknown	9606
DB00063	ITGB3	Integrin beta-3	HGNC:6156	Eptifibatide	biotech		other	yes	9606
DB00065	TNF	Tumor necrosis factor	HGNC:11892	Infliximab	biotech	inhibitor	negaive	yes	9606
DB00066	FSHR	Follicle-stimulating hormone receptor	HGNC:3969	Follitropin	biotech	agonist	positive	yes	9606
DB00067	AVPR1A	Vasopressin V1a receptor	HGNC:895	Vasopressin	small molecule		other	yes	9606
DB00067	AVPR1B	Vasopressin V1b receptor	HGNC:896	Vasopressin	small molecule		other	yes	9606
DB00067	AVPR2	Vasopressin V2 receptor	HGNC:897	Vasopressin	small molecule	agonist	positive	yes	9606
DB00068	IFNAR1	Interferon alpha/beta receptor 1	HGNC:5432	Interferon beta-1b	biotech	agonist	positive	yes	9606
DB00068	IFNAR2	Interferon alpha/beta receptor 2	HGNC:5433	Interferon beta-1b	biotech	agonist	positive	yes	9606
DB00069	IFNAR1	Interferon alpha/beta receptor 1	HGNC:5432	Interferon alfacon-1	biotech	binder	other	yes	9606
DB00069	IFNAR2	Interferon alpha/beta receptor 2	HGNC:5433	Interferon alfacon-1	biotech	binder	other	yes	9606
DB00070	TGFB1	Transforming growth factor beta-1	HGNC:11766	Hyaluronidase	biotech	inhibitor	negaive	unknown	9606
DB00071	CPE	Carboxypeptidase E	HGNC:2303	Insulin Pork	biotech		other	unknown	9606
